Start intersection ID,End intersection ID,Name of the road segment,Distance 
18,0,Lakrishte_BillClinton_Lakrishte,25
18,0,Lakrishte_BillClinton_Santea,25
18,0,Lakrishte_BillClinton_Tuneli,25
18,0,Lakrishte_BillClinton_ShtjefenGjeqovi,25
1,0,Santea_BillClinton_Santea,29
1,0,Santea_BillClinton_Lakrishte,29
1,0,Santea_BillClinton_ShtjefenGjeqovi,29
1,0,Santea_BillClinton_Tuneli,29
25,0,Tuneli_BillClinton_ShtjefenGjeqovi,10
25,0,Tuneli_BillClinton_Lakrishte,10
25,0,Tuneli_BillClinton_Santea,10
26,0,ShtjefenGjeqovi_BillClinton_Tuneli,9
26,0,ShtjefenGjeqovi_BillClinton_Santea,9
26,0,ShtjefenGjeqovi_BillClinton_Lakrishte,9
0,1,BillClinton_Santea_BillClinton,29
0,1,BillClinton_Santea_RobertDoll,29
0,1,BillClinton_Santea_Katedralja,29
27,1,RobertDoll_Santea_Katedralja,12
27,1,RobertDoll_Santea_BillClinton,12
2,1,Katedralja_Santea_BillClinton,35
2,1,Katedralja_Santea_RobertDoll,35
1,2,Santea_Katedralja_Santea,35
1,2,Santea_Katedralja_Parking,35
1,2,Santea_Katedralja_Menza,35
1,2,Santea_Katedralja_PTK,35
12,2,PTK_Katedralja_PTK,48
12,2,PTK_Katedralja_Santea,48
12,2,PTK_Katedralja_Parking,48
12,2,PTK_Katedralja_Menza,48
16,2,Menza_Katedralja_Menza,35
16,2,Menza_Katedralja_PTK,35
16,2,Menza_Katedralja_Santea,35
16,2,Menza_Katedralja_Parking,35
71,2,Parking_Katedralja_Parking,11
71,2,Parking_Katedralja_Menza,11
71,2,Parking_Katedralja_PTK,11
71,2,Parking_Katedralja_Santea,11
2,16,Katedralja_Menza_Katedralja,35
2,16,Katedralja_Menza_MAShTI,35
2,16,Katedralja_Menza_Qerimi,35
2,16,Katedralja_Menza_Teknik,35
3,16,Teknik_Menza_Teknik,53
3,16,Teknik_Menza_Katedralja,53
3,16,Teknik_Menza_MAShTI,53
3,16,Teknik_Menza_Qerimi,53
4,16,Qerimi_Menza_Qerimi,30
4,16,Qerimi_Menza_Teknik,30
4,16,Qerimi_Menza_Katedralja,30
4,16,Qerimi_Menza_MAShTI,30
6,16,MAShTI_Menza_MAShTI,48
6,16,MAShTI_Menza_Qerimi,48
6,16,MAShTI_Menza_Teknik,48
6,16,MAShTI_Menza_Katedralja,48
16,4,Menza_Qerimi_Menza,30
16,4,Menza_Qerimi_HajrullahAbdullahu,30
16,4,Menza_Qerimi_EnverMaloku,30
16,4,Menza_Qerimi_Teknik,30
3,4,Teknik_Qerimi_Teknik,48
3,4,Teknik_Qerimi_Menza,48
3,4,Teknik_Qerimi_HajrullahAbdullahu,48
3,4,Teknik_Qerimi_EnverMaloku,48
30,4,EnverMaloku_Qerimi_EnverMaloku,12
30,4,EnverMaloku_Qerimi_Teknik,12
30,4,EnverMaloku_Qerimi_Menza,12
30,4,EnverMaloku_Qerimi_HajrullahAbdullahu,12